Episode;DateEpisode;TotalCases;Imported;Mechanism;DateOneCase;DateMoreOneCase;DateImported;DateMoreFiveCases;VIM;KPC;OXA48;NDM;Department;Region
55;21/02/2011;1;O;OXA-48  ;21/02/2011;;21/02/2011;;;;21/02/2011;;75;Ile-de-France
56;06/03/2011;1;O;OXA-48  ;06/03/2011;;06/03/2011;;;;06/03/2011;;61;Normandie
57;09/03/2011;1;O;OXA-48  ;09/03/2011;;09/03/2011;;;;09/03/2011;;94;Ile-de-France
58;09/03/2011;3;N;OXA-48  ;;09/03/2011;;;;;09/03/2011;;34;Occitanie
59;09/03/2011;1;N;OXA-48  ;09/03/2011;;;;;;09/03/2011;;75;Ile-de-France
60;15/03/2011;1;O;KPC  ;15/03/2011;;15/03/2011;;;15/03/2011;;;44;Pays de la Loire
61;16/03/2011;2;O;OXA-48  ;;16/03/2011;16/03/2011;;;;16/03/2011;;13;Provence-Alpes-Cote d'Azur
62;16/03/2011;1;O;KPC VIM ;16/03/2011;;16/03/2011;;16/03/2011;16/03/2011;;;75;Ile-de-France
63;22/03/2011;1;O;OXA-48  ;22/03/2011;;22/03/2011;;;;22/03/2011;;75;Ile-de-France
64;23/03/2011;1;O;VIM  ;23/03/2011;;23/03/2011;;23/03/2011;;;;94;Ile-de-France
65;28/03/2011;1;O;OXA-48  ;28/03/2011;;28/03/2011;;;;28/03/2011;;54;Grand Est
66;28/03/2011;1;N;OXA-48  ;28/03/2011;;;;;;28/03/2011;;6;Provence-Alpes-Cote d'Azur
67;30/03/2011;1;O;NDM-1 KPC ;30/03/2011;;30/03/2011;;;30/03/2011;;30/03/2011;22;Bretagne
68;04/04/2011;1;O;KPC  ;04/04/2011;;04/04/2011;;;04/04/2011;;;75;Ile-de-France
69;06/04/2011;1;O;OXA-48  ;06/04/2011;;06/04/2011;;;;06/04/2011;;76;Normandie
70;06/04/2011;1;O;KPC  ;06/04/2011;;06/04/2011;;;06/04/2011;;;42;Auvergne-Rhone-Alpes
71;08/04/2011;1;O;OXA-48  ;08/04/2011;;08/04/2011;;;;08/04/2011;;6;Provence-Alpes-Cote d'Azur
72;15/04/2011;1;N;OXA-48  ;15/04/2011;;;;;;15/04/2011;;6;Provence-Alpes-Cote d'Azur
73;15/04/2011;1;N;OXA-48  ;15/04/2011;;;;;;15/04/2011;;6;Provence-Alpes-Cote d'Azur
74;18/04/2011;1;N;OXA-48  ;18/04/2011;;;;;;18/04/2011;;59;Hauts-de-France
75;03/05/2011;4;O;OXA-48  ;;03/05/2011;03/05/2011;;;;03/05/2011;;44;Pays de la Loire
76;09/05/2011;1;O;KPC  ;09/05/2011;;09/05/2011;;;09/05/2011;;;73;Auvergne-Rhone-Alpes
77;12/05/2011;1;O;OXA-48  ;12/05/2011;;12/05/2011;;;;12/05/2011;;66;Occitanie
78;12/05/2011;1;N;OXA-48  ;12/05/2011;;;;;;12/05/2011;;34;Occitanie
79;20/05/2011;1;O;OXA-48  ;20/05/2011;;20/05/2011;;;;20/05/2011;;66;Occitanie
80;25/05/2011;1;O;OXA-48  ;25/05/2011;;25/05/2011;;;;25/05/2011;;75;Ile-de-France
81;27/05/2011;1;O;OXA-48  ;27/05/2011;;27/05/2011;;;;27/05/2011;;93;Ile-de-France
82;03/06/2011;3;O;KPC  ;;03/06/2011;03/06/2011;;;03/06/2011;;;75;Ile-de-France
83;05/06/2011;14;O;KPC  ;;05/06/2011;05/06/2011;05/06/2011;;05/06/2011;;;91;Ile-de-France
84;07/06/2011;1;N;OXA-48  ;07/06/2011;;;;;;07/06/2011;;75;Ile-de-France
85;08/06/2011;1;N;OXA-48  ;08/06/2011;;;;;;08/06/2011;;31;Occitanie
86;14/06/2011;1;O;OXA-48  ;14/06/2011;;14/06/2011;;;;14/06/2011;;59;Hauts-de-France
87;15/06/2011;1;N;NDM-1  ;15/06/2011;;;;;;;15/06/2011;83;Provence-Alpes-Cote d'Azur
88;20/06/2011;1;O;OXA-48  ;20/06/2011;;20/06/2011;;;;20/06/2011;;57;Grand Est
89;25/06/2011;1;O;NDM-1  ;25/06/2011;;25/06/2011;;;;;25/06/2011;64;Nouvelle-Aquitaine
90;28/06/2011;1;O;OXA-48  ;28/06/2011;;28/06/2011;;;;28/06/2011;;92;Ile-de-France
91;01/07/2011;1;O;OXA-48  ;01/07/2011;;01/07/2011;;;;01/07/2011;;62;Hauts-de-France
92;01/07/2011;1;O;KPC  ;01/07/2011;;01/07/2011;;;01/07/2011;;;75;Ile-de-France
93;15/07/2011;1;O;OXA-48  ;15/07/2011;;15/07/2011;;;;15/07/2011;;75;Ile-de-France
94;23/07/2011;1;O;OXA-48  ;23/07/2011;;23/07/2011;;;;23/07/2011;;6;Provence-Alpes-Cote d'Azur
95;24/07/2011;1;N;IMI  ;24/07/2011;;;;;;;;17;Nouvelle-Aquitaine
96;25/07/2011;1;O;OXA-48  ;25/07/2011;;25/07/2011;;;;25/07/2011;;91;Ile-de-France
97;25/07/2011;1;O;OXA-48  ;25/07/2011;;25/07/2011;;;;25/07/2011;;42;Auvergne-Rhone-Alpes
98;28/07/2011;1;N;VIM  ;28/07/2011;;;;28/07/2011;;;;67;Grand Est
99;29/07/2011;1;N;OXA-48  ;29/07/2011;;;;;;29/07/2011;;94;Ile-de-France
100;01/08/2011;2;N;OXA-48  ;;01/08/2011;;;;;01/08/2011;;75;Ile-de-France
101;05/08/2011;1;O;OXA-48  ;05/08/2011;;05/08/2011;;;;05/08/2011;;78;Ile-de-France
102;09/08/2011;1;O;KPC-3  ;09/08/2011;;09/08/2011;;;09/08/2011;;;73;Auvergne-Rhone-Alpes
103;12/08/2011;1;O;KPC  ;12/08/2011;;12/08/2011;;;12/08/2011;;;92;Ile-de-France
104;12/08/2011;1;O;OXA-48  ;12/08/2011;;12/08/2011;;;;12/08/2011;;51;Grand Est
105;16/08/2011;1;O;NDM-1  ;16/08/2011;;16/08/2011;;;;;16/08/2011;95;Ile-de-France
106;16/08/2011;1;N;OXA-48  ;16/08/2011;;;;;;16/08/2011;;75;Ile-de-France
107;17/08/2011;1;O;KPC  ;17/08/2011;;17/08/2011;;;17/08/2011;;;94;Ile-de-France
